SaleID,Product_id,Customer_id,Units_sold,SaleDate,BuyerType,year
62,32,29,4,"Sunday, June 11, 2023",User,2023
100,32,20,4,"Thursday, December 28, 2023",User,2023
195,32,140,4,"Thursday, May 4, 2023",User,2023
850,32,30,4,"Sunday, April 9, 2023",User,2023
1132,32,200,4,"Thursday, December 28, 2023",User,2023
1135,32,120,4,"Sunday, September 24, 2023",User,2023
1389,32,126,4,"Sunday, March 12, 2023",User,2023
1570,32,28,4,"Saturday, March 25, 2023",User,2023
1789,32,32,4,"Friday, February 10, 2023",User,2023
1918,32,195,4,"Saturday, July 15, 2023",User,2023
1930,32,186,4,"Thursday, June 22, 2023",User,2023
2086,32,194,4,"Wednesday, February 8, 2023",User,2023
2286,32,56,4,"Monday, December 18, 2023",User,2023
2406,32,76,4,"Tuesday, November 14, 2023",User,2023
2433,32,200,4,"Sunday, January 8, 2023",User,2023
2644,32,32,4,"Thursday, November 2, 2023",User,2023
2721,32,21,4,"Wednesday, March 8, 2023",User,2023
2803,32,66,4,"Saturday, September 2, 2023",User,2023
3136,32,87,4,"Thursday, March 30, 2023",User,2023
3352,32,162,4,"Monday, February 27, 2023",User,2023
4019,32,2,4,"Sunday, April 2, 2023",User,2023
4414,32,154,4,"Thursday, June 1, 2023",User,2023
4485,32,103,4,"Sunday, September 3, 2023",User,2023
4729,32,152,4,"Monday, December 4, 2023",User,2023
4799,32,186,4,"Thursday, April 13, 2023",User,2023
4806,32,78,4,"Wednesday, June 21, 2023",User,2023
147,32,189,4,"Friday, May 27, 2022",User,2022
53,27,120,4,"Sunday, April 2, 2023",User,2023
54,27,145,4,"Friday, June 2, 2023",User,2023
185,27,13,4,"Sunday, February 5, 2023",User,2023
328,27,184,4,"Tuesday, June 27, 2023",User,2023
531,27,42,4,"Saturday, April 1, 2023",User,2023
629,27,126,4,"Monday, September 18, 2023",User,2023
749,27,28,4,"Thursday, May 25, 2023",User,2023
1076,27,129,4,"Saturday, May 27, 2023",User,2023
1119,27,2,4,"Tuesday, January 24, 2023",User,2023
1200,27,119,4,"Monday, January 9, 2023",User,2023
1243,27,151,4,"Tuesday, June 20, 2023",User,2023
1299,27,30,4,"Friday, April 7, 2023",User,2023
1747,27,67,4,"Saturday, January 28, 2023",User,2023
1906,27,121,4,"Saturday, January 28, 2023",User,2023
1909,27,113,4,"Thursday, May 11, 2023",User,2023
1962,27,42,4,"Saturday, July 29, 2023",User,2023
2161,27,191,4,"Friday, November 17, 2023",User,2023
2481,27,160,4,"Friday, May 12, 2023",User,2023
2597,27,175,4,"Saturday, February 25, 2023",User,2023
2600,27,127,4,"Friday, March 3, 2023",User,2023
2676,27,2,4,"Friday, June 2, 2023",User,2023
3182,27,192,4,"Sunday, October 8, 2023",User,2023
3478,27,140,4,"Monday, July 10, 2023",User,2023
3587,27,8,4,"Monday, September 25, 2023",User,2023
3605,27,184,4,"Tuesday, August 29, 2023",User,2023
3657,27,91,4,"Sunday, January 22, 2023",User,2023
3997,27,100,4,"Sunday, December 31, 2023",User,2023
4035,27,110,4,"Wednesday, August 16, 2023",User,2023
4076,27,17,4,"Saturday, July 15, 2023",User,2023
4167,27,92,4,"Thursday, November 30, 2023",User,2023
4372,27,198,4,"Sunday, January 22, 2023",User,2023
4465,27,27,4,"Wednesday, March 29, 2023",User,2023
4519,27,190,4,"Monday, August 14, 2023",User,2023
4534,27,172,4,"Friday, June 23, 2023",User,2023
5147,27,134,4,"Sunday, December 31, 2023",User,2023
5158,27,20,4,"Friday, August 4, 2023",User,2023
5256,27,26,4,"Wednesday, November 29, 2023",User,2023
5335,27,72,4,"Wednesday, February 22, 2023",User,2023
5681,27,38,4,"Thursday, April 20, 2023",User,2023
6467,27,78,4,"Monday, March 6, 2023",User,2023
7507,27,192,4,"Tuesday, November 21, 2023",User,2023
7573,27,193,4,"Monday, September 4, 2023",User,2023
7723,27,95,4,"Monday, March 6, 2023",User,2023
8178,27,133,4,"Friday, February 3, 2023",User,2023
8232,27,188,4,"Tuesday, February 7, 2023",User,2023
8315,27,7,4,"Saturday, June 10, 2023",User,2023
8585,27,164,4,"Friday, January 13, 2023",User,2023
8661,27,51,4,"Friday, September 15, 2023",User,2023
8737,27,83,4,"Saturday, January 14, 2023",User,2023
8760,27,9,4,"Wednesday, June 21, 2023",User,2023
9047,27,6,4,"Saturday, July 29, 2023",User,2023
9546,27,111,4,"Wednesday, September 20, 2023",User,2023
9760,27,197,4,"Sunday, December 17, 2023",User,2023
9882,27,50,4,"Saturday, November 11, 2023",User,2023
9954,27,174,4,"Tuesday, August 1, 2023",User,2023
9997,27,40,4,"Thursday, September 21, 2023",User,2023
53,27,94,4,"Tuesday, October 24, 2023",User,2023
54,27,94,4,"Wednesday, October 25, 2023",User,2023
185,27,13,4,"Wednesday, March 22, 2023",User,2023
328,27,184,4,"Tuesday, January 24, 2023",User,2023
531,27,42,4,"Wednesday, May 17, 2023",User,2023
629,27,126,4,"Friday, February 10, 2023",User,2023
749,27,28,4,"Friday, April 14, 2023",User,2023
1076,27,129,4,"Saturday, May 27, 2023",User,2023
1119,27,2,4,"Tuesday, January 24, 2023",User,2023
1200,27,119,4,"Monday, January 9, 2023",User,2023
1243,27,151,4,"Tuesday, June 20, 2023",User,2023
1299,27,30,4,"Friday, April 7, 2023",User,2023
1747,27,67,4,"Saturday, January 28, 2023",User,2023
1906,27,121,4,"Saturday, January 28, 2023",User,2023
1909,27,113,4,"Thursday, May 11, 2023",User,2023
1962,27,42,4,"Saturday, July 29, 2023",User,2023
2161,27,191,4,"Friday, November 17, 2023",User,2023
2481,27,160,4,"Friday, May 12, 2023",User,2023
2597,27,175,4,"Saturday, February 25, 2023",User,2023
2600,27,127,4,"Friday, March 3, 2023",User,2023
2676,27,2,4,"Friday, June 2, 2023",User,2023
3182,27,192,4,"Sunday, October 8, 2023",User,2023
3478,27,140,4,"Monday, July 10, 2023",User,2023
3587,27,8,4,"Monday, September 25, 2023",User,2023
3605,27,184,4,"Tuesday, August 29, 2023",User,2023
3657,27,91,4,"Sunday, January 22, 2023",User,2023
3997,27,100,4,"Sunday, December 31, 2023",User,2023
4035,27,110,4,"Wednesday, August 16, 2023",User,2023
4076,27,17,4,"Saturday, July 15, 2023",User,2023
4167,27,92,4,"Thursday, November 30, 2023",User,2023
4372,27,198,4,"Sunday, January 22, 2023",User,2023
4465,27,27,4,"Wednesday, March 29, 2023",User,2023
4519,27,190,4,"Monday, August 14, 2023",User,2023
4534,27,172,4,"Friday, June 23, 2023",User,2023
52,8,156,4,"Wednesday, September 27, 2023",User,2023
123,8,136,4,"Sunday, March 26, 2023",User,2023
201,8,70,4,"Wednesday, October 4, 2023",User,2023
277,8,183,4,"Tuesday, March 7, 2023",User,2023
312,8,48,4,"Saturday, June 17, 2023",User,2023
442,8,89,4,"Sunday, November 5, 2023",User,2023
524,8,143,4,"Thursday, March 30, 2023",User,2023
539,8,50,4,"Sunday, September 3, 2023",User,2023
1047,8,164,4,"Friday, September 22, 2023",User,2023
1136,8,64,4,"Tuesday, January 10, 2023",User,2023
1273,8,1,4,"Tuesday, October 31, 2023",User,2023
1643,8,20,4,"Saturday, October 7, 2023",User,2023
1766,8,166,4,"Wednesday, February 15, 2023",User,2023
2130,8,132,4,"Thursday, August 24, 2023",User,2023
2382,8,31,4,"Saturday, November 25, 2023",User,2023
2618,8,31,4,"Saturday, March 18, 2023",User,2023
2774,8,87,4,"Thursday, June 29, 2023",User,2023
3106,8,192,4,"Tuesday, July 18, 2023",User,2023
3200,8,113,4,"Thursday, May 4, 2023",User,2023
3252,8,70,4,"Saturday, November 4, 2023",User,2023
3289,8,14,4,"Saturday, December 30, 2023",User,2023
3344,8,121,4,"Friday, June 9, 2023",User,2023
3619,8,13,4,"Sunday, March 19, 2023",User,2023
3868,8,141,4,"Sunday, March 5, 2023",User,2023
4091,8,80,4,"Sunday, January 29, 2023",User,2023
4209,8,50,4,"Thursday, October 26, 2023",User,2023
4269,8,30,4,"Monday, November 27, 2023",User,2023
4406,8,189,4,"Saturday, July 29, 2023",User,2023
4410,8,77,4,"Monday, June 26, 2023",User,2023
5067,8,49,4,"Monday, March 20, 2023",User,2023
5529,8,124,4,"Saturday, April 8, 2023",User,2023
5532,8,176,4,"Thursday, March 23, 2023",User,2023
5655,8,17,4,"Thursday, September 14, 2023",User,2023
5882,8,174,4,"Sunday, July 30, 2023",User,2023
6044,8,39,4,"Friday, August 18, 2023",User,2023
6199,8,173,4,"Saturday, July 1, 2023",User,2023
6391,8,103,4,"Friday, July 14, 2023",User,2023
6822,8,132,4,"Monday, May 8, 2023",User,2023
6860,8,52,4,"Thursday, September 21, 2023",User,2023
6902,8,141,4,"Sunday, June 4, 2023",User,2023
7001,8,146,4,"Saturday, January 28, 2023",User,2023
7390,8,116,4,"Wednesday, March 22, 2023",User,2023
7661,8,16,4,"Saturday, September 23, 2023",User,2023
7743,8,64,4,"Wednesday, July 5, 2023",User,2023
7971,8,102,4,"Friday, September 15, 2023",User,2023
7990,8,23,4,"Sunday, November 5, 2023",User,2023
8120,8,145,4,"Friday, March 31, 2023",User,2023
8136,8,183,4,"Sunday, September 3, 2023",User,2023
8244,8,83,4,"Wednesday, December 13, 2023",User,2023
8255,8,92,4,"Sunday, February 12, 2023",User,2023
8557,8,59,4,"Sunday, May 14, 2023",User,2023
8559,8,180,4,"Saturday, October 21, 2023",User,2023
8631,8,182,4,"Thursday, August 24, 2023",User,2023
8980,8,107,4,"Thursday, November 16, 2023",User,2023
9102,8,92,4,"Friday, April 14, 2023",User,2023
9370,8,109,4,"Wednesday, November 22, 2023",User,2023
9404,8,116,4,"Monday, February 27, 2023",User,2023
9659,8,31,4,"Saturday, February 25, 2023",User,2023
9701,8,46,4,"Wednesday, October 11, 2023",User,2023
52,8,94,4,"Monday, October 23, 2023",User,2023
123,8,136,4,"Tuesday, January 30, 2024",User,2024
201,8,70,4,"Thursday, April 13, 2023",User,2023
277,8,183,4,"Friday, July 28, 2023",User,2023
312,8,48,4,"Friday, September 15, 2023",User,2023
442,8,89,4,"Tuesday, March 7, 2023",User,2023
524,8,143,4,"Saturday, August 5, 2023",User,2023
539,8,50,4,"Monday, May 29, 2023",User,2023
1047,8,164,4,"Friday, September 22, 2023",User,2023
1136,8,64,4,"Tuesday, January 10, 2023",User,2023
1273,8,1,4,"Tuesday, October 31, 2023",User,2023
1643,8,20,4,"Saturday, October 7, 2023",User,2023
1766,8,166,4,"Wednesday, February 15, 2023",User,2023
2130,8,132,4,"Thursday, August 24, 2023",User,2023
2382,8,31,4,"Saturday, November 25, 2023",User,2023
2618,8,31,4,"Saturday, March 18, 2023",User,2023
2774,8,87,4,"Thursday, June 29, 2023",User,2023
3106,8,192,4,"Tuesday, July 18, 2023",User,2023
3200,8,113,4,"Thursday, May 4, 2023",User,2023
3252,8,70,4,"Saturday, November 4, 2023",User,2023
3289,8,14,4,"Saturday, December 30, 2023",User,2023
3344,8,121,4,"Friday, June 9, 2023",User,2023
3619,8,13,4,"Sunday, March 19, 2023",User,2023
3868,8,141,4,"Sunday, March 5, 2023",User,2023
4091,8,80,4,"Sunday, January 29, 2023",User,2023
4209,8,50,4,"Thursday, October 26, 2023",User,2023
4269,8,30,4,"Monday, November 27, 2023",User,2023
4406,8,189,4,"Saturday, July 29, 2023",User,2023
4410,8,77,4,"Monday, June 26, 2023",User,2023
732,8,57,4,"Thursday, February 1, 2024",User,2024
1197,8,124,4,"Tuesday, November 4, 2025",User,2025
37,15,122,4,"Friday, August 11, 2023",User,2023
46,15,16,4,"Sunday, August 27, 2023",User,2023
131,15,88,4,"Thursday, August 10, 2023",User,2023
549,15,54,4,"Monday, March 13, 2023",User,2023
613,15,119,4,"Tuesday, March 21, 2023",User,2023
701,15,84,4,"Thursday, September 21, 2023",User,2023
776,15,139,4,"Monday, April 10, 2023",User,2023
866,15,3,4,"Tuesday, June 6, 2023",User,2023
1183,15,139,4,"Wednesday, October 11, 2023",User,2023
1627,15,114,4,"Wednesday, March 22, 2023",User,2023
1674,15,195,4,"Sunday, June 4, 2023",User,2023
2037,15,98,4,"Saturday, November 11, 2023",User,2023
2112,15,178,4,"Friday, March 17, 2023",User,2023
2202,15,118,4,"Wednesday, May 24, 2023",User,2023
2460,15,89,4,"Monday, September 18, 2023",User,2023
2702,15,6,4,"Sunday, April 2, 2023",User,2023
2716,15,5,4,"Saturday, October 14, 2023",User,2023
2725,15,120,4,"Tuesday, May 16, 2023",User,2023
3028,15,38,4,"Wednesday, November 22, 2023",User,2023
3063,15,176,4,"Friday, November 10, 2023",User,2023
3522,15,39,4,"Sunday, July 9, 2023",User,2023
3813,15,78,4,"Saturday, February 25, 2023",User,2023
3822,15,113,4,"Tuesday, October 17, 2023",User,2023
4169,15,146,4,"Thursday, June 1, 2023",User,2023
4333,15,67,4,"Tuesday, May 30, 2023",User,2023
4349,15,32,4,"Wednesday, September 27, 2023",User,2023
4745,15,98,4,"Saturday, November 18, 2023",User,2023
4793,15,19,4,"Tuesday, September 12, 2023",User,2023
4861,15,64,4,"Tuesday, March 28, 2023",User,2023
5052,15,119,4,"Monday, June 19, 2023",User,2023
5678,15,75,4,"Tuesday, September 5, 2023",User,2023
5826,15,147,4,"Saturday, September 9, 2023",User,2023
5845,15,48,4,"Thursday, May 11, 2023",User,2023
5907,15,197,4,"Saturday, August 12, 2023",User,2023
5935,15,65,4,"Sunday, January 22, 2023",User,2023
6344,15,67,4,"Monday, February 6, 2023",User,2023
6466,15,57,4,"Thursday, July 6, 2023",User,2023
6488,15,85,4,"Tuesday, September 26, 2023",User,2023
6582,15,176,4,"Wednesday, February 15, 2023",User,2023
7161,15,2,4,"Wednesday, January 11, 2023",User,2023
7320,15,122,4,"Friday, August 25, 2023",User,2023
7365,15,64,4,"Sunday, May 28, 2023",User,2023
7446,15,130,4,"Thursday, June 15, 2023",User,2023
7476,15,20,4,"Saturday, September 9, 2023",User,2023
7629,15,59,4,"Monday, January 16, 2023",User,2023
7912,15,148,4,"Monday, September 18, 2023",User,2023
7994,15,77,4,"Tuesday, October 31, 2023",User,2023
8112,15,151,4,"Thursday, September 28, 2023",User,2023
8662,15,131,4,"Wednesday, May 3, 2023",User,2023
8723,15,197,4,"Sunday, December 3, 2023",User,2023
8767,15,56,4,"Monday, July 24, 2023",User,2023
8886,15,101,4,"Saturday, October 28, 2023",User,2023
9052,15,200,4,"Monday, March 27, 2023",User,2023
9382,15,70,4,"Friday, October 6, 2023",User,2023
9402,15,75,4,"Friday, June 2, 2023",User,2023
9477,15,183,4,"Friday, October 20, 2023",User,2023
9533,15,14,4,"Friday, June 23, 2023",User,2023
9648,15,58,4,"Sunday, May 14, 2023",User,2023
9820,15,100,4,"Tuesday, March 21, 2023",User,2023
9848,15,154,4,"Tuesday, December 5, 2023",User,2023
37,15,122,4,"Friday, February 10, 2023",User,2023
131,15,88,4,"Monday, September 2, 2024",User,2024
549,15,54,4,"Wednesday, December 6, 2023",User,2023
613,15,119,4,"Wednesday, August 9, 2023",User,2023
701,15,84,4,"Sunday, July 2, 2023",User,2023
776,15,139,4,"Tuesday, May 23, 2023",User,2023
866,15,3,4,"Tuesday, September 26, 2023",User,2023
1183,15,139,4,"Wednesday, October 11, 2023",User,2023
1627,15,114,4,"Wednesday, March 22, 2023",User,2023
1674,15,195,4,"Sunday, June 4, 2023",User,2023
2037,15,98,4,"Saturday, November 11, 2023",User,2023
2112,15,178,4,"Friday, March 17, 2023",User,2023
2202,15,118,4,"Wednesday, May 24, 2023",User,2023
2460,15,89,4,"Monday, September 18, 2023",User,2023
2702,15,6,4,"Sunday, April 2, 2023",User,2023
2716,15,5,4,"Saturday, October 14, 2023",User,2023
2725,15,120,4,"Tuesday, May 16, 2023",User,2023
3028,15,38,4,"Wednesday, November 22, 2023",User,2023
3063,15,176,4,"Friday, November 10, 2023",User,2023
3522,15,39,4,"Sunday, July 9, 2023",User,2023
3813,15,78,4,"Saturday, February 25, 2023",User,2023
3822,15,113,4,"Tuesday, October 17, 2023",User,2023
4169,15,146,4,"Thursday, June 1, 2023",User,2023
4333,15,67,4,"Tuesday, May 30, 2023",User,2023
4349,15,32,4,"Wednesday, September 27, 2023",User,2023
4745,15,98,4,"Saturday, November 18, 2023",User,2023
4793,15,19,4,"Tuesday, September 12, 2023",User,2023
586,15,133,4,"Friday, September 8, 2023",User,2023
26,6,78,4,"Wednesday, August 2, 2023",User,2023
227,6,153,4,"Monday, December 4, 2023",User,2023
580,6,176,4,"Thursday, December 7, 2023",User,2023
616,6,49,4,"Saturday, May 27, 2023",User,2023
1221,6,103,4,"Wednesday, July 12, 2023",User,2023
1292,6,86,4,"Friday, April 7, 2023",User,2023
1328,6,162,4,"Monday, January 2, 2023",User,2023
1870,6,39,4,"Saturday, December 30, 2023",User,2023
1935,6,176,4,"Monday, August 14, 2023",User,2023
2159,6,111,4,"Friday, March 24, 2023",User,2023
2166,6,39,4,"Thursday, October 12, 2023",User,2023
2261,6,122,4,"Monday, January 9, 2023",User,2023
2312,6,145,4,"Friday, July 14, 2023",User,2023
2379,6,132,4,"Wednesday, August 2, 2023",User,2023
2448,6,54,4,"Thursday, January 5, 2023",User,2023
2637,6,149,4,"Sunday, August 6, 2023",User,2023
2911,6,78,4,"Sunday, September 17, 2023",User,2023
3170,6,44,4,"Thursday, April 13, 2023",User,2023
3306,6,30,4,"Sunday, October 8, 2023",User,2023
3373,6,7,4,"Saturday, December 30, 2023",User,2023
3584,6,187,4,"Thursday, April 13, 2023",User,2023
3727,6,84,4,"Wednesday, August 16, 2023",User,2023
3810,6,165,4,"Friday, December 15, 2023",User,2023
4176,6,98,4,"Thursday, March 30, 2023",User,2023
4367,6,96,4,"Monday, December 11, 2023",User,2023
4554,6,49,4,"Thursday, March 9, 2023",User,2023
4670,6,35,4,"Wednesday, May 24, 2023",User,2023
4683,6,166,4,"Sunday, December 10, 2023",User,2023
5121,6,63,4,"Wednesday, January 11, 2023",User,2023
5479,6,63,4,"Friday, February 24, 2023",User,2023
5731,6,79,4,"Saturday, June 17, 2023",User,2023
5774,6,55,4,"Saturday, November 18, 2023",User,2023
6510,6,185,4,"Wednesday, December 6, 2023",User,2023
6566,6,36,4,"Wednesday, August 9, 2023",User,2023
6638,6,132,4,"Tuesday, August 1, 2023",User,2023
6870,6,54,4,"Tuesday, February 14, 2023",User,2023
7086,6,82,4,"Monday, December 18, 2023",User,2023
7324,6,63,4,"Saturday, December 9, 2023",User,2023
7495,6,199,4,"Thursday, February 23, 2023",User,2023
7537,6,6,4,"Sunday, April 23, 2023",User,2023
7575,6,1,4,"Tuesday, August 8, 2023",User,2023
7626,6,67,4,"Wednesday, July 19, 2023",User,2023
7670,6,116,4,"Monday, June 19, 2023",User,2023
7789,6,69,4,"Wednesday, November 29, 2023",User,2023
8058,6,150,4,"Friday, June 23, 2023",User,2023
8124,6,173,4,"Tuesday, April 18, 2023",User,2023
8828,6,106,4,"Thursday, October 26, 2023",User,2023
8892,6,145,4,"Tuesday, May 16, 2023",User,2023
9119,6,167,4,"Sunday, November 26, 2023",User,2023
9274,6,135,4,"Friday, March 3, 2023",User,2023
9279,6,58,4,"Thursday, August 10, 2023",User,2023
9708,6,176,4,"Tuesday, February 21, 2023",User,2023
9892,6,1,4,"Sunday, April 9, 2023",User,2023
9920,6,69,4,"Tuesday, August 29, 2023",User,2023
26,6,130,4,"Friday, September 15, 2023",User,2023
227,6,153,4,"Friday, May 19, 2023",User,2023
580,6,176,4,"Tuesday, July 25, 2023",User,2023
616,6,49,4,"Wednesday, September 13, 2023",User,2023
1221,6,103,4,"Wednesday, July 12, 2023",User,2023
1292,6,86,4,"Friday, April 7, 2023",User,2023
1328,6,162,4,"Monday, January 2, 2023",User,2023
1870,6,39,4,"Saturday, December 30, 2023",User,2023
1935,6,176,4,"Monday, August 14, 2023",User,2023
2159,6,111,4,"Friday, March 24, 2023",User,2023
2166,6,39,4,"Thursday, October 12, 2023",User,2023
2261,6,122,4,"Monday, January 9, 2023",User,2023
2312,6,145,4,"Friday, July 14, 2023",User,2023
2379,6,132,4,"Wednesday, August 2, 2023",User,2023
2448,6,54,4,"Thursday, January 5, 2023",User,2023
2637,6,149,4,"Sunday, August 6, 2023",User,2023
2911,6,78,4,"Sunday, September 17, 2023",User,2023
3170,6,44,4,"Thursday, April 13, 2023",User,2023
3306,6,30,4,"Sunday, October 8, 2023",User,2023
3373,6,7,4,"Saturday, December 30, 2023",User,2023
3584,6,187,4,"Thursday, April 13, 2023",User,2023
3727,6,84,4,"Wednesday, August 16, 2023",User,2023
3810,6,165,4,"Friday, December 15, 2023",User,2023
4176,6,98,4,"Thursday, March 30, 2023",User,2023
4367,6,96,4,"Monday, December 11, 2023",User,2023
4554,6,49,4,"Thursday, March 9, 2023",User,2023
4670,6,35,4,"Wednesday, May 24, 2023",User,2023
4683,6,166,4,"Sunday, December 10, 2023",User,2023
219,6,156,4,"Friday, July 8, 2022",User,2022
625,6,166,4,"Sunday, September 17, 2023",User,2023
925,6,68,4,"Saturday, July 13, 2024",User,2024
961,6,121,4,"Sunday, August 18, 2024",User,2024
1467,6,38,4,"Monday, June 1, 2026",User,2026
145,14,176,4,"Monday, August 14, 2023",User,2023
255,14,177,4,"Friday, June 2, 2023",User,2023
361,14,47,4,"Saturday, March 18, 2023",User,2023
423,14,125,4,"Thursday, January 12, 2023",User,2023
433,14,47,4,"Tuesday, March 7, 2023",User,2023
449,14,15,4,"Monday, January 23, 2023",User,2023
485,14,48,4,"Saturday, September 9, 2023",User,2023
521,14,196,4,"Friday, February 10, 2023",User,2023
765,14,99,4,"Friday, March 10, 2023",User,2023
1210,14,60,4,"Saturday, November 25, 2023",User,2023
1453,14,117,4,"Monday, December 11, 2023",User,2023
1458,14,99,4,"Wednesday, August 23, 2023",User,2023
1509,14,41,4,"Tuesday, November 14, 2023",User,2023
1723,14,33,4,"Tuesday, January 24, 2023",User,2023
1735,14,111,4,"Friday, June 23, 2023",User,2023
1760,14,159,4,"Saturday, June 10, 2023",User,2023
1771,14,27,4,"Tuesday, June 20, 2023",User,2023
2403,14,168,4,"Friday, September 15, 2023",User,2023
2692,14,6,4,"Monday, August 21, 2023",User,2023
2731,14,24,4,"Thursday, January 12, 2023",User,2023
3286,14,197,4,"Sunday, April 9, 2023",User,2023
3427,14,112,4,"Tuesday, February 7, 2023",User,2023
3931,14,80,4,"Thursday, January 19, 2023",User,2023
4021,14,60,4,"Thursday, May 18, 2023",User,2023
4071,14,26,4,"Sunday, May 28, 2023",User,2023
4130,14,52,4,"Sunday, December 17, 2023",User,2023
4264,14,36,4,"Friday, December 8, 2023",User,2023
4536,14,79,4,"Saturday, December 23, 2023",User,2023
4606,14,162,4,"Monday, December 4, 2023",User,2023
4652,14,5,4,"Monday, March 27, 2023",User,2023
4948,14,144,4,"Saturday, February 4, 2023",User,2023
5149,14,141,4,"Monday, October 30, 2023",User,2023
5186,14,39,4,"Monday, April 24, 2023",User,2023
5242,14,33,4,"Friday, July 14, 2023",User,2023
5318,14,159,4,"Wednesday, August 2, 2023",User,2023
6219,14,169,4,"Thursday, June 15, 2023",User,2023
6922,14,57,4,"Saturday, December 2, 2023",User,2023
7092,14,24,4,"Tuesday, July 4, 2023",User,2023
7295,14,177,4,"Monday, April 24, 2023",User,2023
7461,14,184,4,"Friday, August 4, 2023",User,2023
7774,14,166,4,"Thursday, January 26, 2023",User,2023
8047,14,44,4,"Tuesday, December 5, 2023",User,2023
8077,14,117,4,"Sunday, February 5, 2023",User,2023
8207,14,192,4,"Wednesday, March 29, 2023",User,2023
8591,14,82,4,"Tuesday, January 24, 2023",User,2023
8617,14,191,4,"Wednesday, March 29, 2023",User,2023
8627,14,89,4,"Sunday, December 31, 2023",User,2023
8636,14,74,4,"Saturday, February 11, 2023",User,2023
8734,14,90,4,"Wednesday, August 30, 2023",User,2023
8873,14,58,4,"Friday, September 8, 2023",User,2023
9112,14,129,4,"Thursday, February 16, 2023",User,2023
9220,14,80,4,"Friday, June 2, 2023",User,2023
9276,14,11,4,"Tuesday, January 17, 2023",User,2023
